timestamp,elapsed_s,measured_v,current_mA,resistance,std_dev,stage_commanded,stage_effective,stage_changed
2026-05-26T18:26:07.385,0.000003,0.01751781,4.00000000,,,0,0,false
2026-05-26T18:26:07.405,5.311838,0.01751722,4.00000000,,,0,0,false
2026-05-26T18:26:07.425,5.331817,0.01751702,4.00000000,,,0,0,false
2026-05-26T18:26:07.445,5.351806,0.01751706,4.00000000,,,0,0,false
2026-05-26T18:26:07.465,5.371787,0.01751698,4.00000000,,,0,0,false
2026-05-26T18:26:07.485,5.391794,0.01751698,4.00000000,,,0,0,false
2026-05-26T18:26:07.505,5.411771,0.01751721,4.00000000,,,0,0,false
2026-05-26T18:26:07.525,5.431770,0.01751745,4.00000000,,,0,0,false
2026-05-26T18:26:07.545,5.451803,0.01751781,4.00000000,,,0,0,false
2026-05-26T18:26:07.565,5.471775,0.01751781,4.00000000,,,0,0,false
2026-05-26T18:26:07.585,5.491820,0.01751793,4.00000000,,,0,0,false
2026-05-26T18:26:07.605,5.511768,0.01751781,4.00000000,,,0,0,false
2026-05-26T18:26:07.625,5.531747,0.01751745,4.00000000,,,0,0,false
2026-05-26T18:26:07.645,5.551842,0.01751721,4.00000000,,,0,0,false
2026-05-26T18:26:07.665,5.571785,0.01751733,4.00000000,,,0,0,false
2026-05-26T18:26:07.685,5.591759,0.01751685,4.00000000,,,0,0,false
2026-05-26T18:26:07.705,5.611764,0.01751721,4.00000000,,,0,0,false
2026-05-26T18:26:07.725,5.631775,0.01751745,4.00000000,,,0,0,false
2026-05-26T18:26:07.745,5.651771,0.01751781,4.00000000,,,0,0,false
2026-05-26T18:26:07.765,5.671786,0.01751793,4.00000000,,,0,0,false
2026-05-26T18:26:07.785,5.691779,0.01751852,4.00000000,,,0,0,false
2026-05-26T18:26:07.805,5.711817,0.01751817,4.00000000,,,0,0,false
2026-05-26T18:26:07.825,5.731776,0.01751793,4.00000000,,,0,0,false
2026-05-26T18:26:07.845,5.751787,0.01751793,4.00000000,,,0,0,false
2026-05-26T18:26:07.865,5.771812,0.01751805,4.00000000,,,0,0,false
2026-05-26T18:26:07.885,5.792019,0.01751769,4.00000000,,,0,0,false
2026-05-26T18:26:07.905,5.811880,0.01751805,4.00000000,,,0,0,false
2026-05-26T18:26:07.925,5.831993,0.01751828,4.00000000,,,0,0,false
2026-05-26T18:26:07.945,5.851826,0.01751816,4.00000000,,,0,0,false
2026-05-26T18:26:07.965,5.871781,0.01751828,4.00000000,,,0,0,false
2026-05-26T18:26:07.985,5.891752,0.01751864,4.00000000,,,0,0,false
2026-05-26T18:26:08.005,5.911794,0.01751840,4.00000000,,,0,0,false
2026-05-26T18:26:08.025,5.931762,0.01751912,4.00000000,,,0,0,false
2026-05-26T18:26:08.045,5.951769,0.01751888,4.00000000,,,0,0,false
2026-05-26T18:26:08.065,5.971739,0.01751852,4.00000000,,,0,0,false
2026-05-26T18:26:08.085,5.991759,0.01751829,4.00000000,,,0,0,false
2026-05-26T18:26:08.105,6.011730,0.01751852,4.00000000,,,0,0,false
2026-05-26T18:26:08.125,6.031751,0.01751793,4.00000000,,,0,0,false
2026-05-26T18:26:08.145,6.051766,0.01751817,4.00000000,,,0,0,false
2026-05-26T18:26:08.165,6.071754,0.01751805,4.00000000,,,0,0,false
2026-05-26T18:26:08.185,6.091731,0.01751793,4.00000000,,,0,0,false
