backbone,decided_snapshot,decided_timestamp,decided_voltage,decided_current_mA,decided_resistance,decided_std_dev,decided_stage,rmse,mae,maxabs,num_snapshots
baseline,*,2.990000,0.01423791,10.00000000,1.42379125,,,0.026407363037876226,0.026407363037876226,0.026407363037876226,0
stddev_window,*,2.990000,0.01423791,10.00000000,1.42379125,,,0.026407363037876226,0.026407363037876226,0.026407363037876226,0
hysteresis,*,2.990000,0.01423791,10.00000000,1.42379125,,,0.026407363037876226,0.026407363037876226,0.026407363037876226,0
running_stat,*,2.990000,0.01423791,10.00000000,1.42379125,,,0.026407363037876226,0.026407363037876226,0.026407363037876226,0
