backbone,decided_snapshot,decided_timestamp,decided_voltage,decided_current_mA,decided_resistance,decided_std_dev,decided_stage,rmse,mae,maxabs,num_snapshots
baseline,*,2.990000,0.01017529,10.00000000,1.01752932,,,0.00025433431732374036,0.00025433431732374036,0.00025433431732374036,0
stddev_window,*,2.990000,0.01017529,10.00000000,1.01752932,,,0.00025433431732374036,0.00025433431732374036,0.00025433431732374036,0
hysteresis,*,2.990000,0.01017529,10.00000000,1.01752932,,,0.00025433431732374036,0.00025433431732374036,0.00025433431732374036,0
running_stat,*,2.990000,0.01017529,10.00000000,1.01752932,,,0.00025433431732374036,0.00025433431732374036,0.00025433431732374036,0
